is_true_data_science_role,data_role_family,job_count,average_skill_count,average_description_words
No,Not Data Science,1159,17.815358067299396,514.3339085418464
Review,Possible Data Role,1,18.0,577.0
Yes,Data Analytics,4,20.5,970.75
Yes,Data Engineering,2,26.5,909.5
Yes,Data Science,1,31.0,738.0
