keyword,importance_score
data,4.854266885013756
information,0.8746181028160577
services,0.8116759521335447
sql,0.7164465299340467
analysis,0.6956984345329945
time,0.6746199211734487
technology,0.6596435096457676
finance,0.6595486475626018
salary,0.6259654111748659
health,0.6196765223551788
reporting,0.5953193027684427
solutions,0.5932372845888454
program,0.5531594198241212
penn,0.5327334420863716
analytics,0.5291486870073657
leadership,0.5290328233214399
benefits,0.5137445067194831
provide,0.4786180460616437
information technology,0.4768818341710231
ohio,0.4675667757786602
medicine,0.4617023164748555
process,0.44125668191587825
systems,0.43424958964808325
care,0.4285509313987185
employees,0.4093433833629552
functions,0.3982797132577853
communication,0.39531126094412283
exp,0.3740534206229282
collaboration,0.3630358094767646
data analytics,0.33891620313368026
