skill,skill_demand_count,count
problem solving,7,7
communication,7,7
sql,6,6
collaboration,5,5
python,4,4
data analysis,4,4
adaptability,4,4
data visualization,3,3
etl,3,3
data mining,3,3
leadership,3,3
attention to detail,2,2
teamwork,2,2
azure,2,2
data security,2,2
big data,2,2
data management,2,2
power bi,2,2
tableau,2,2
data extraction,2,2
