category_clean,total_jobs,true_data_science_roles,review_roles,average_skill_count,average_description_words,true_data_science_percentage,category,number_of_jobs
Business Development,239,0,0,16.740585774058577,517.4100418410042,0.0,Business Development,239
Finance,236,4,1,18.61864406779661,582.4491525423729,1.69,Finance,236
Hr,220,1,0,19.145454545454545,546.3863636363636,0.45,Hr,220
Information Technology,240,2,0,19.05,439.1791666666667,0.83,Information Technology,240
Sales,232,0,0,15.745689655172415,501.73706896551727,0.0,Sales,232
